x,result
-10.0,-1.5423510453569171
-9.9,-1.9434347440771638
-9.8,-2.538824718351538
-9.700000000000001,-3.5412226286821844
-9.600000000000001,-5.648517392944131
-9.500000000000002,-13.268892733291628
-9.400000000000002,40.35018667552011
-9.300000000000002,7.972599908398301
-9.200000000000003,4.373655153214658
-9.100000000000003,2.9699983263892014
-9.000000000000004,2.21084541099921
-8.900000000000004,1.7273436785837022
-8.800000000000004,1.3866800701338837
-8.700000000000005,1.129232868778244
-8.600000000000005,0.924186723074936
-8.500000000000005,0.7539406624946953
-8.400000000000006,0.6076402031431678
-8.300000000000006,0.47815374946316075
-8.200000000000006,0.3605228495828389
-8.100000000000007,0.2511049719386095
-8.000000000000007,0.14706506394948804
-7.9000000000000075,0.04605087777708872
-7.800000000000008,-0.05403412962749262
-7.700000000000008,-0.15521027369611518
-7.6000000000000085,-0.259587494543734
-7.500000000000009,-0.3695472563090059
-7.400000000000009,-0.4879752720802257
-7.30000000000001,-0.6185969708033803
-7.20000000000001,-0.7665061699510453
-7.10000000000001,-0.9390613712820872
-7.000000000000011,-1.1475154224051105
-6.900000000000011,-1.4102161544652936
-6.800000000000011,-1.7595102183464757
-6.700000000000012,-2.25857311974437
-6.600000000000012,-3.050100895888533
-6.500000000000012,-4.539734472880792
-6.400000000000013,-8.521593262108622
-6.300000000000013,-59.466192113665514
-6.2000000000000135,11.993612461173388
-6.100000000000014,5.397754287424356
-6.000000000000014,3.4363530041803125
-5.900000000000015,2.4807069228704304
-5.800000000000015,1.9059736612917193
-5.700000000000015,1.5157702904306625
-5.600000000000016,1.2285868315872237
-5.500000000000016,1.004435534876566
-5.400000000000016,0.8213276957770034
-5.300000000000017,0.6661011930225673
-5.200000000000017,0.530323393811856
-5.100000000000017,0.408265012348549
-5.000000000000018,0.2958129155327652
-4.900000000000018,0.18984362912362895
-4.8000000000000185,0.08783586835284216
-4.700000000000019,-0.01238961427205079
-4.600000000000019,-0.1128645892183239
-4.5000000000000195,-0.21564123255277381
-4.40000000000002,-0.3229636403819785
