x,result
-10.0,1.8381639608896632
-9.9,2.185620873913468
-9.8,2.72866834747515
-9.700000000000001,3.6797089159185896
-9.600000000000001,5.736353261296968
-9.500000000000002,13.306521497656679
-9.400000000000002,-40.362576289792514
-9.300000000000002,-8.035069962320962
-9.200000000000003,-4.486519742433007
-9.100000000000003,-3.133829934561647
-9.000000000000004,-2.426486643552003
-8.900000000000004,-1.9959248943642833
-8.800000000000004,-1.709643710515882
-8.700000000000005,-1.5083656293913432
-8.600000000000005,-1.3616611542920611
-8.500000000000005,-1.2523683653633781
-8.400000000000006,-1.1701395713656855
-8.300000000000006,-1.1084362896105842
-8.200000000000006,-1.0630036336115367
-8.100000000000007,-1.0310449587347246
-8.000000000000007,-1.0107562184000982
-7.9000000000000075,-1.0010597801050847
-7.800000000000008,-1.001458779563393
-7.700000000000008,-1.0119734329817276
-7.6000000000000085,-1.033143585046867
-7.500000000000009,-1.066098107420473
-7.400000000000009,-1.1127083473047958
-7.30000000000001,-1.1758665792882788
-7.20000000000001,-1.2599728999359552
-7.10000000000001,-1.3718003714222393
-7.000000000000011,-1.5221010625637115
-6.900000000000011,-1.7287884781877976
-6.800000000000011,-2.023827119213907
-6.700000000000012,-2.4700511203681224
-6.600000000000012,-3.209846643548572
-6.500000000000012,-4.648568498394128
-6.400000000000013,-8.580067116568207
-6.300000000000013,-59.474599658168145
-6.2000000000000135,12.035229115759018
-6.100000000000014,5.4896039335646085
-6.000000000000014,3.578899547254583
-5.900000000000015,2.6746788287899688
-5.800000000000015,2.152379055263678
-5.700000000000015,1.8159183828994778
-5.600000000000016,1.5841166632383907
-5.500000000000016,1.417353429361489
-5.400000000000016,1.2940553248800306
-5.300000000000017,1.201536848933934
-5.200000000000017,1.131920006901603
-5.100000000000017,1.0801297701239239
-5.000000000000018,1.0428352127714113
-4.900000000000018,1.0178607977119611
-4.8000000000000185,1.0038501580262353
-4.700000000000019,1.0000767483257522
-4.600000000000019,1.0063490525157863
-4.5000000000000195,1.0229863836712976
-4.40000000000002,1.0508594163867877
-4.30000000000002,1.0915053265874282
-4.200000000000021,1.1473471746819728
-4.100000000000021,1.2220798877035561
-4.000000000000021,1.3213487088108777
-3.9000000000000212,1.4539825588197959
-3.800000000000021,1.634366435087115
-3.700000000000021,1.8873759692672094
-3.600000000000021,2.259782604740935
-3.500000000000021,2.8507634375402855
-3.400000000000021,3.913264801898253
-3.3000000000000207,6.339317250026262
-3.2000000000000206,17.130872356808688
-3.1000000000000205,-24.049640902097565
-3.0000000000000204,-7.086167395736085
-2.9000000000000203,-4.179740036410523
-2.8000000000000203,-2.9851802206574907
-2.70000000000002,-2.3398387389058066
-2.60000000000002,-1.9398590472546162
-2.50000000000002,-1.6709215455587247
-2.40000000000002,-1.4804655957472947
-2.30000000000002,-1.341012485457905
-2.2000000000000197,-1.236863881243876
-2.1000000000000196,-1.158467503523719
-2.0000000000000195,-1.0997501702946262
-1.9000000000000195,-1.0567472337911592
-1.8000000000000194,-1.0268546826963327
-1.7000000000000193,-1.0084052488902282
-1.6000000000000192,-1.0004265788504196
-1.500000000000019,-1.0025113042467235
-1.400000000000019,-1.014765106294876
-1.300000000000019,-1.037820045674796
-1.2000000000000188,-1.0729163777098893
-1.1000000000000187,-1.1220733185271894
-1.0000000000000187,-1.188395105778107
-0.9000000000000187,-1.2766062134588767
-0.8000000000000187,-1.3940078193886107
-0.7000000000000187,-1.5522703269570692
-0.6000000000000187,-1.7710321966876765
-0.5000000000000188,-2.085829642933418
-0.4000000000000188,-2.567932455547669
-0.3000000000000188,-3.3838633618239196
-0.2000000000000188,-5.03348954767187
-0.1000000000000188,-10.016686131632934
-1.8790524691780774E-14,Infinity
0.09999999999998122,10.016686131636728
0.19999999999998122,5.033489547672811
0.2999999999999812,3.3838633618243263
0.39999999999998126,2.567932455547896
0.49999999999998124,2.0858296429335605
0.5999999999999812,1.7710321966877738
0.6999999999999812,1.5522703269571387
0.7999999999999812,1.3940078193886616
0.8999999999999811,1.2766062134589147
0.9999999999999811,1.1883951057781355
1.0999999999999812,1.1220733185272107
1.1999999999999813,1.072916377709905
1.2999999999999814,1.0378200456748068
1.3999999999999815,1.0147651062948826
1.4999999999999816,1.0025113042467262
1.5999999999999817,1.0004265788504187
1.6999999999999817,1.008405248890223
1.7999999999999818,1.0268546826963236
1.899999999999982,1.0567472337911457
1.999999999999982,1.0997501702946075
2.099999999999982,1.1584675035236935
2.199999999999982,1.2368638812438422
2.299999999999982,1.3410124854578596
2.399999999999982,1.480465595747234
2.4999999999999822,1.6709215455586401
2.5999999999999823,1.939859047254493
2.6999999999999824,2.3398387389056206
2.7999999999999825,2.985180220657161
2.8999999999999826,4.1797400364098545
2.9999999999999827,7.086167395734169
3.0999999999999828,24.049640902072856
3.199999999999983,-17.130872356818177
3.299999999999983,-6.339317250027733
3.399999999999983,-3.9132648018988125
3.499999999999983,-2.8507634375405724
3.599999999999983,-2.2597826047411105
3.6999999999999833,-1.8873759692673233
3.7999999999999834,-1.634366435087194
3.8999999999999835,-1.453982558819854
3.9999999999999836,-1.321348708810921
4.099999999999984,-1.2220798877035879
4.199999999999983,-1.1473471746819968
4.299999999999983,-1.0915053265874461
4.399999999999983,-1.0508594163868004
4.499999999999982,-1.022986383671306
4.599999999999982,-1.0063490525157908
4.6999999999999815,-1.0000767483257529
4.799999999999981,-1.003850158026232
4.899999999999981,-1.017860797711954
4.9999999999999805,-1.0428352127714
5.09999999999998,-1.0801297701239074
5.19999999999998,-1.1319200069015805
5.299999999999979,-1.2015368489339044
5.399999999999979,-1.294055324879991
5.499999999999979,-1.4173534293614358
5.599999999999978,-1.5841166632383183
5.699999999999978,-1.815918382899375
5.799999999999978,-2.1523790552635256
5.899999999999977,-2.6746788287897214
5.999999999999977,-3.578899547254125
6.0999999999999766,-5.489603933563505
6.199999999999976,-12.035229115753598
6.299999999999976,59.47459965830828
6.3999999999999755,8.580067116570943
6.499999999999975,4.64856849839492
6.599999999999975,3.209846643548937
6.699999999999974,2.4700511203683293
6.799999999999974,2.0238271192140407
6.899999999999974,1.7287884781878888
6.999999999999973,1.5221010625637759
7.099999999999973,1.3718003714222875
7.199999999999973,1.2599728999359914
7.299999999999972,1.175866579288306
7.399999999999972,1.112708347304816
7.499999999999972,1.0660981074204876
7.599999999999971,1.033143585046877
7.699999999999971,1.0119734329817334
7.7999999999999705,1.0014587795633951
7.89999999999997,1.001059780105083
7.99999999999997,1.0107562184000927
8.09999999999997,1.0310449587347148
8.199999999999969,1.0630036336115225
8.299999999999969,1.1084362896105644
8.399999999999968,1.170139571365659
8.499999999999968,1.2523683653633428
8.599999999999968,1.3616611542920143
8.699999999999967,1.508365629391279
8.799999999999967,1.7096437105157933
8.899999999999967,1.9959248943641548
8.999999999999966,2.426486643551799
9.099999999999966,3.1338299345613
9.199999999999966,4.486519742432255
9.299999999999965,8.035069962318458
9.399999999999965,40.36257628971951
9.499999999999964,-13.306521497663217
9.599999999999964,-5.736353261298142
9.699999999999964,-3.67970891591908
9.799999999999963,-2.728668347475415
9.899999999999963,-2.185620873913627
9.999999999999963,-1.8381639608897689
